Price,Brand,Model,Reg_Date,Km,Capacity,Type
24800000.0,honda,air blade,2014.0,12345.0,100 - 175 cc,tay ga
34000000.0,honda,lead,2019.0,8000.0,100 - 175 cc,tay ga
17500000.0,yamaha,exciter,2021.0,23000.0,100 - 175 cc,tay côn/moto
18800000.0,honda,wave,2022.0,4000.0,50 - 100 cc,xe số
15800000.0,honda,future,2014.0,12345.0,50 - 100 cc,xe số
24500000.0,honda,vision,2016.0,22222.0,trên 175 cc,tay ga
65500000.0,honda,sh mode,2021.0,1800.0,trên 175 cc,tay ga
85000000.0,honda,sh,2018.0,14000.0,trên 175 cc,tay ga
116000000.0,piaggio,gts,2019.0,8000.0,trên 175 cc,tay ga
22500000.0,yamaha,janus,2019.0,12000.0,100 - 175 cc,tay ga
57000000.0,honda,sh,2016.0,15000.0,100 - 175 cc,tay ga
80000000.0,honda,sh,2017.0,12000.0,trên 175 cc,tay ga
37800000.0,honda,air blade,2021.0,8000.0,100 - 175 cc,tay ga
62000000.0,honda,vario,2018.0,13300.0,100 - 175 cc,tay ga
13800000.0,honda,wave,2022.0,18200.0,100 - 175 cc,xe số
8500000.0,honda,lead,2007.0,21213.0,100 - 175 cc,tay ga
73500000.0,kawasaki,z300,2017.0,11000.0,trên 175 cc,tay côn/moto
45500000.0,honda,air blade,2021.0,10.0,100 - 175 cc,tay ga
46600000.0,honda,air blade,2022.0,5000.0,100 - 175 cc,tay ga
24700000.0,honda,future,2019.0,22000.0,100 - 175 cc,xe số
22000000.0,yamaha,exciter,2017.0,13000.0,100 - 175 cc,tay côn/moto
76000000.0,honda,sh,2017.0,23644.0,100 - 175 cc,tay ga
23000000.0,yamaha,exciter,2016.0,36868.0,100 - 175 cc,xe số
29500000.0,honda,air blade,2016.0,12345.0,100 - 175 cc,tay ga
36000000.0,honda,lead,2019.0,9000.0,100 - 175 cc,tay ga
18000000.0,yamaha,exciter,2013.0,140000.0,100 - 175 cc,tay côn/moto
42800000.0,honda,vario,2019.0,17000.0,100 - 175 cc,tay ga
46000000.0,piaggio,vespa,2016.0,19300.0,100 - 175 cc,tay ga
